index_gen,index_ind,htg_sp,clg_sp,wwr,insulation_thickness,carbon_emissons,discomfort_hours
54,20,18,25.5,0.200126439811637,0.447658071524424,221011.3421,2054.33
55,1,22,24,0.200412316733248,0.446155780198553,247101.3993,658.83
55,2,21,25.5,0.200126439811637,0.447604311132718,229230.9914,1594
55,3,22,26.5,0.200126441641366,0.447664160160097,228343.0676,1721
55,4,22,25.5,0.200136813627107,0.470128377383792,234517.3927,665.17
55,5,20.5,25.5,0.200126323904658,0.447661614751157,227107.0547,1880.5
55,6,18,25.5,0.20012643981161,0.447662111290882,221011.3319,2054.33
55,7,21,25.5,0.200126439811637,0.447604311132718,229230.9914,1594
55,8,21,25.5,0.200126441641366,0.447604311132718,229230.9914,1594
55,9,18,27,0.200126439809128,0.447606861563617,215661.2712,3507.67
55,10,18.5,26.5,0.200126323904658,0.447658096075769,218039.7995,2972.67
55,11,18,25.5,0.200126444544935,0.447662111290882,221011.3319,2054.33
55,12,18.5,27,0.20012628916155,0.447661606874573,216204.4906,3502.67
55,13,18.5,25.5,0.200126269980834,0.470128377383792,221681.1912,2041.33
55,14,18,26.5,0.200126439809128,0.469793918261395,217370.5291,2976.33
55,15,22,26,0.200126439811571,0.447662111290882,231542.6297,940
55,16,22,26.5,0.200126441608294,0.447664160160097,228343.0676,1721
55,17,18,27,0.200126441613168,0.447606588152393,215661.2723,3507.67
55,18,22,25.5,0.200126441641366,0.447662111290882,234646.3484,670.67
55,19,22,25.5,0.200126441543457,0.447662111290882,234646.3484,670.67
55,20,20.5,25.5,0.20012628916155,0.447660842751116,227107.0585,1880.5
56,1,22,24,0.200412316733248,0.446155780198553,247101.3993,658.83
56,2,22,26.5,0.200126441641366,0.447664160160097,228343.0676,1721
56,3,22,25.5,0.200136813627107,0.470128377383792,234517.3927,665.17
56,4,20.5,25.5,0.200126323904658,0.447661614751157,227107.0547,1880.5
56,5,18.5,26.5,0.200126323904658,0.447658096075769,218039.7995,2972.67
56,6,18.5,27,0.20012628916155,0.447661606874573,216204.4906,3502.67
56,7,18.5,25.5,0.200126269980834,0.470128377383792,221681.1912,2041.33
56,8,18,26.5,0.200126439809128,0.469793918261395,217370.5291,2976.33
56,9,22,26,0.200126439811571,0.447662111290882,231542.6297,940
56,10,22,26.5,0.200126441608294,0.447664160160097,228343.0676,1721
56,11,18,27,0.200126439811637,0.447662111290882,215661.133,3507.67
56,12,21,25.5,0.200126450341236,0.447606588152393,229230.9797,1594
56,13,18.5,26,0.200137052684088,0.447606861563617,220074.48,2245.33
56,14,22,25.5,0.200028628835389,0.469613314482858,234473.77,665.5
56,15,18,25.5,0.200126441580966,0.469793918261395,220944.2073,2050.33
56,16,18,27,0.200126439809128,0.447606861563617,215661.2712,3507.67
56,17,22,25.5,0.200126439811571,0.447664160160097,234646.3361,670.67
56,18,18,25.5,0.200126239991202,0.447662111290882,221011.3319,2054.33
56,19,20.5,25.5,0.20012643981161,0.447661606874573,227107.0549,1880.5
56,20,21,25.5,0.200126441641366,0.447604311132718,229230.9914,1594
57,1,22,24,0.200412316733248,0.446155780198553,247101.3993,658.83
57,2,22,26.5,0.200126441641366,0.447664160160097,228343.0676,1721
57,3,22,25.5,0.200136813627107,0.470128377383792,234517.3927,665.17
57,4,20.5,25.5,0.200126323904658,0.447661614751157,227107.0547,1880.5
